text,label
"To jest świetny produkt",positive
"Bardzo mi się podoba",positive
"Rewelacyjna jakość",positive
"Super wykonanie",positive
"Jestem bardzo zadowolony",positive
"To działa perfekcyjnie",positive
"Fantastyczne doświadczenie",positive
"Zdecydowanie polecam",positive
"Warte swojej ceny",positive
"Produkt spełnił oczekiwania",positive
"Bardzo dobra jakość",positive
"Świetna obsługa",positive
"Szybka dostawa i dobry kontakt",positive
"Wszystko zgodne z opisem",positive
"Jestem zachwycony",positive
"Naprawdę warto kupić",positive
"Bardzo funkcjonalne rozwiązanie",positive
"Działa bez zarzutu",positive
"Profesjonalne podejście",positive
"Miłe zaskoczenie",positive
"Produkt wysokiej klasy",positive
"Solidne wykonanie",positive
"Znakomity wybór",positive
"Bardzo dobrze zaprojektowane",positive
"Wygodne i praktyczne",positive
"Spełnia swoją rolę",positive
"Bezproblemowe użytkowanie",positive
"Świetny stosunek jakości do ceny",positive
"Doskonały produkt",positive
"Bardzo pozytywne wrażenie",positive
"Jest dokładnie tym, czego szukałem",positive
"Świetnie się sprawdza",positive
"Bardzo estetyczne",positive
"Działa lepiej niż oczekiwałem",positive
"Polecam każdemu",positive
"Produkt godny uwagi",positive
"Wszystko działa jak należy",positive
"Bardzo udany zakup",positive
"Rewelacja",positive
"Świetna inwestycja",positive
"Bardzo przyjemne w użyciu",positive
"Bez zastrzeżeń",positive
"Top jakość",positive
"Bardzo dobrze wykonane",positive
"Wysoki standard",positive
"Produkt premium",positive
"Bardzo dobry wybór",positive
"Spełnia wszystkie wymagania",positive
"Jest super",positive
"Polecam w 100 procentach",positive
"To jest okropne",negative
"Nie polecam",negative
"Bardzo słaba jakość",negative
"Jestem rozczarowany",negative
"Totalna porażka",negative
"Strata pieniędzy",negative
"Nie działa poprawnie",negative
"Bardzo kiepskie wykonanie",negative
"Zdecydowanie odradzam",negative
"Nie spełnia oczekiwań",negative
"Słaby produkt",negative
"Fatalna obsługa",negative
"Długi czas oczekiwania",negative
"Nie warto kupować",negative
"Produkt wadliwy",negative
"Zawiodłem się",negative
"Bardzo negatywne doświadczenie",negative
"Działa źle",negative
"Problemy od pierwszego użycia",negative
"Nie jestem zadowolony",negative
"Bardzo niska jakość",negative
"Rozczarowanie",negative
"Nie działa jak powinno",negative
"Beznadziejny produkt",negative
"Tragiczne wykonanie",negative
"Nie polecam nikomu",negative
"Dużo błędów",negative
"Nie warte ceny",negative
"Bardzo słabe",negative
"Zły wybór",negative
"Produkt poniżej oczekiwań",negative
"Nie działa wcale",negative
"Problematyczne użytkowanie",negative
"Słaba trwałość",negative
"Bardzo niepraktyczne",negative
"Nie spełnia swojej funkcji",negative
"Zdecydowanie słaby",negative
"Nie jestem usatysfakcjonowany",negative
"Produkt niskiej jakości",negative
"Zepsuł się szybko",negative
"Nie działa stabilnie",negative
"Słabe materiały",negative
"Bardzo kiepski",negative
"Nie polecam tego produktu",negative
"Fatalny wybór",negative
"Nie warte uwagi",negative
"Ogromne rozczarowanie",negative
"Nie działa zgodnie z opisem",negative
"Zdecydowanie nie",negative
"Najgorszy zakup",negative
